	mouseSampleTag5	mouseSampleTag6	mouseSampleTag7	mouseSampleTag8	mouseSampleTag9	TagIDs
Aoki_162100	1.69604453022163	-0.384980364058246	0.0808331521141786	-0.695948659138784	-0.695948659138784	mouseSampleTag5
Aoki_447569	1.703071073875	-0.393608245182544	0.0622154863058597	-0.685839157499157	-0.685839157499157	mouseSampleTag5
Aoki_612243	1.70162291709617	-0.40530303243518	0.0712557233424105	-0.683787804001699	-0.683787804001699	mouseSampleTag5
Aoki_366765	1.68712777203674	-0.506725607543139	0.143424458694369	-0.661913311593983	-0.661913311593983	mouseSampleTag5
Aoki_593738	1.68568961920593	-0.508638335815297	0.147971066909888	-0.662511175150261	-0.662511175150261	mouseSampleTag5
Aoki_310071	1.69235891393332	-0.52065047546217	0.13046208315133	-0.651085260811239	-0.651085260811239	mouseSampleTag5
Aoki_167082	1.68915293084714	-0.518360596738327	0.139607846805366	-0.655200090457091	-0.655200090457091	mouseSampleTag5
Aoki_802595	1.69032296735614	-0.510428809643217	0.134730117035011	-0.657312137373968	-0.657312137373968	mouseSampleTag5
Aoki_656164	1.69643354406186	-0.488763748091714	0.111944961928467	-0.659807378949305	-0.659807378949305	mouseSampleTag5
Aoki_864271	1.69393633949936	-0.493459148236669	0.120542973775286	-0.660510082518986	-0.660510082518986	mouseSampleTag5
Aoki_175672	1.6869813491121	-0.485660021542043	0.139417950760659	-0.67036963916536	-0.67036963916536	mouseSampleTag5
Aoki_388745	1.68248313626884	-0.491744229043053	0.15373416192207	-0.67223653457393	-0.67223653457393	mouseSampleTag5
Aoki_81651	1.69228223233937	-0.456995396458771	0.116563082884402	-0.675924959382499	-0.675924959382499	mouseSampleTag5
Aoki_685203	1.68945467631166	-0.469897571442903	0.128374095613107	-0.673965600240932	-0.673965600240932	mouseSampleTag5
Aoki_384723	1.71120696309537	-0.501477907156022	0.0675547736360028	-0.638641914787674	-0.638641914787674	mouseSampleTag5
Aoki_845256	1.70501067825314	-0.50882779934666	0.0891806285471565	-0.642681753726816	-0.642681753726816	mouseSampleTag5
Aoki_638215	1.7071792442606	-0.505397728958159	0.0815443805830099	-0.641662947942723	-0.641662947942723	mouseSampleTag5
Aoki_803199	1.70778046464397	-0.510712524860592	0.0805614677137517	-0.638814703748567	-0.638814703748567	mouseSampleTag5
Aoki_248647	1.71100908591857	-0.476681810999448	0.0628062803587356	-0.648566777638929	-0.648566777638929	mouseSampleTag5
Aoki_436745	1.70574711271681	-0.447110525055895	0.072025837301561	-0.665331212481239	-0.665331212481239	mouseSampleTag5
Aoki_262931	1.70507650180801	-0.461684471696178	0.0782971388156244	-0.660844584463727	-0.660844584463727	mouseSampleTag5
Aoki_345272	1.7016562664141	-0.454736486990538	0.0872258826196586	-0.667072831021608	-0.667072831021608	mouseSampleTag5
Aoki_363449	1.69767725547805	-0.465470485078138	0.102501190016082	-0.667353980207999	-0.667353980207999	mouseSampleTag5
Aoki_489006	1.70197072633226	-0.474437212689981	0.0914387611812818	-0.659486137411782	-0.659486137411782	mouseSampleTag5
Aoki_324113	1.14772887849318	0.690422858774527	0.235719523765668	-1.03693563051669	-1.03693563051669	mouseSampleTag5
Aoki_398995	1.08300428306443	0.735602830544613	0.282071705870944	-1.05033940973999	-1.05033940973999	mouseSampleTag5
Aoki_844282	1.1502190457745	0.883841505015757	-0.105004452607522	-0.854606052398984	-1.07445004578375	mouseSampleTag5
Aoki_422185	1.11161342116267	0.863607368011426	0.0334499246793918	-1.00433535692674	-1.00433535692674	mouseSampleTag5
Aoki_375012	1.14504808939158	0.902421075649551	-0.118501297091046	-0.964483933975041	-0.964483933975041	mouseSampleTag5
Aoki_486316	1.18152476514728	0.824673916700223	-0.0456753203071146	-0.980261680770195	-0.980261680770195	mouseSampleTag5
Aoki_266200	1.22851858379243	0.741551207793879	0.000130136624297436	-0.985099964105303	-0.985099964105303	mouseSampleTag5
Aoki_419595	1.26954255789197	0.731639365707123	-0.079378280772718	-0.960901821413187	-0.960901821413187	mouseSampleTag5
Aoki_696894	1.18239474339094	0.709104664237076	0.146898955255687	-1.01919918144185	-1.01919918144185	mouseSampleTag5
Aoki_248480	1.16000194318363	0.770868956581693	0.0945734496143	-1.01272217468981	-1.01272217468981	mouseSampleTag5
Aoki_495299	1.20377656030219	0.73788439567078	0.0597762343007687	-1.00071859513687	-1.00071859513687	mouseSampleTag5
Aoki_342604	1.45443265427823	0.609553786943068	-0.504511817552591	-0.633865604486775	-0.925609019181933	mouseSampleTag5
Aoki_150847	1.37398077403958	0.718478085929674	-0.550038253634948	-0.543292194272445	-0.999128412061865	mouseSampleTag5
Aoki_820467	1.33064664373405	0.802657986450525	-0.637622626876308	-0.574600237842979	-0.921081765465286	mouseSampleTag5
Aoki_230007	1.49350356635746	0.51537371072223	-0.344417042334997	-0.832230117372345	-0.832230117372345	mouseSampleTag5
Aoki_241816	1.53454711667629	0.441798690188069	-0.34467139462762	-0.815837206118368	-0.815837206118368	mouseSampleTag5
Aoki_370249	1.51777215417045	0.50775088206383	-0.457649573361635	-0.78393673143632	-0.78393673143632	mouseSampleTag5
Aoki_101285	1.46694500274926	0.595971264002385	-0.465003872348995	-0.798956197201326	-0.798956197201326	mouseSampleTag5
